date,open,close,high,low,volume,amount
2020-12-08,6424.1589,6423.6513,6448.3926,6406.7236,10549499200,118324850768.4000
2020-12-09,6430.4767,6307.2207,6437.4327,6307.2207,12151621300,133439441028.8000
2020-12-10,6295.3530,6320.0956,6350.9178,6267.1713,11057714200,122398601686.0000
2020-12-11,6328.8282,6209.4270,6340.3946,6163.4119,13264160600,143457071945.4000
2020-12-14,6207.8260,6259.0175,6260.6133,6176.5402,10687714900,123900781656.0000
2020-12-15,6250.0967,6265.5819,6276.5843,6228.6787,9798099400,119718559344.7000
2020-12-16,6268.2111,6235.4352,6271.0304,6219.0857,9928395000,114108040736.8000
2020-12-17,6225.0790,6308.9013,6312.0056,6184.5429,12770274400,140083142643.1000
2020-12-18,6310.1601,6291.9180,6332.5326,6269.2134,12862228800,137531405179.9000
2020-12-21,6302.2576,6398.5987,6401.5463,6293.9220,13634782200,156761702647.2000
2020-12-22,6372.8787,6250.0606,6378.4986,6241.5603,15131061800,172456513342.7000
2020-12-23,6255.3524,6307.6040,6330.6028,6242.6249,14404432300,166258560029.3000
2020-12-24,6308.4801,6205.2247,6308.4801,6202.4031,13122165300,147688966891.2000
2020-12-25,6190.9922,6278.4981,6284.5851,6186.0254,13447826700,143831769330.4000
2020-12-28,6283.7821,6244.4818,6288.2442,6219.0910,14896021400,160495558567.3000
2020-12-29,6240.7355,6199.8523,6280.0396,6196.4147,15447603200,155674658940.1000
2020-12-30,6196.4505,6269.2484,6289.2704,6188.5931,13804167300,148227835332.6000
2020-12-31,6282.9576,6367.1149,6370.5695,6281.0138,16019408600,174289318594.1000
2021-01-04,6395.6118,6482.7868,6501.5892,6359.0797,18662120900,211126911334.4000
2021-01-05,6470.2503,6539.7315,6539.7315,6452.5245,19672629200,227033005056.0000
2021-01-06,6549.7310,6528.1425,6569.1990,6472.7446,17852108600,209333367288.0000
2021-01-07,6523.6756,6538.1162,6567.2727,6467.4371,19713564100,219238806494.6000
2021-01-08,6541.5576,6557.5964,6598.3812,6484.3979,18083742900,207113827943.6000
2021-01-11,6557.4528,6455.3987,6572.8538,6419.7310,18325727100,217940399022.5000
2021-01-12,6425.8148,6543.2286,6543.2286,6425.8148,16231123700,199048530439.2000
2021-01-13,6550.0346,6496.9131,6553.6488,6457.8810,18491342000,222962632352.8000
2021-01-14,6471.7894,6439.8854,6516.2686,6402.6002,16302381600,198732646503.4000
2021-01-15,6427.1304,6417.5011,6447.8762,6339.4283,13824319900,166962801807.4000
2021-01-18,6414.8298,6514.4644,6529.4125,6392.0653,13683280700,169891546069.1000
2021-01-19,6510.4785,6476.3736,6532.6474,6456.1154,14761671600,174545108266.2000
2021-01-20,6477.6683,6535.4185,6535.4751,6449.2835,12852543200,153378909111.6000
2021-01-21,6552.0345,6622.4959,6649.8633,6550.8802,15680958700,189208745540.8000
2021-01-22,6619.8603,6637.8052,6643.6653,6573.8204,15806231000,202861676271.9000
2021-01-25,6636.2196,6645.3137,6711.5711,6599.9742,16562310300,223556746416.0000
2021-01-26,6621.1481,6532.9610,6624.4493,6515.2584,14337131100,191892389929.2000
2021-01-27,6527.6804,6557.1608,6564.2855,6481.1571,13976004900,174776064769.4000
2021-01-28,6475.8609,6414.3811,6529.8416,6405.8135,14482540600,174817693999.3000
2021-01-29,6448.6697,6346.1371,6462.3739,6255.7033,14604158100,172077242710.4000
2021-02-01,6338.6445,6393.2780,6397.0135,6328.3355,13732518300,157579284924.2000
2021-02-02,6404.8530,6454.7853,6459.4797,6361.0882,13239431300,161720464851.3000
2021-02-03,6459.6641,6399.3315,6484.4931,6399.3315,14545715500,175699413269.2000
2021-02-04,6375.6723,6328.7881,6414.2983,6249.5311,14886133000,173708935488.7000
2021-02-05,6343.8303,6239.8709,6382.9572,6236.2674,13513287900,162500626708.0000
2021-02-08,6247.9190,6323.1622,6354.0199,6215.7284,11613400400,141592202722.8000
2021-02-09,6334.4163,6457.8814,6468.4281,6330.7920,11931911000,146850922947.9000
2021-02-10,6474.7495,6525.1658,6542.7450,6424.7212,11904265900,150035763539.9000
2021-02-18,6657.3065,6614.5443,6678.6126,6564.3061,16689239200,194996422146.0000
2021-02-19,6600.2459,6703.4821,6706.3901,6542.7821,17876781700,201468755509.5000
2021-02-22,6731.5054,6657.0560,6810.9223,6657.0560,23706558500,259948295725.1000
2021-02-23,6613.6014,6631.2286,6701.4296,6609.0782,19265686600,206144665096.1000
2021-02-24,6633.2823,6536.1861,6661.4326,6477.7512,17371883200,196797835530.2000
2021-02-25,6600.2054,6499.1528,6609.5637,6484.5547,16206818200,171451163368.9000
2021-02-26,6365.7385,6364.3529,6446.9461,6346.1326,15076020600,163655502841.0000
2021-03-01,6407.1642,6488.4388,6491.9367,6404.8885,15860843700,165792208050.0000
2021-03-02,6514.0213,6433.3282,6514.0213,6386.4903,16587706900,174025453382.7000
2021-03-03,6426.0369,6524.7513,6528.2217,6420.2068,17101752400,169667464343.0000
2021-03-04,6482.7869,6401.9917,6485.1639,6371.7302,19433461600,192657769864.8000
2021-03-05,6325.7517,6403.4964,6442.0155,6319.5318,16650488500,163666502404.3000
2021-03-08,6453.7799,6256.4092,6488.8190,6253.6974,16854633900,177120047000.4000
2021-03-09,6235.3139,6108.0027,6250.9352,6033.4082,19643268600,181888459397.0000
2021-03-10,6164.7682,6062.2552,6179.8543,6053.0186,14255427900,135611236325.7000
2021-03-11,6074.3345,6213.8319,6213.9343,6045.5492,16081464300,149412660862.7000
2021-03-12,6231.4849,6222.3802,6232.5006,6137.9903,17574617800,160346945987.6000
2021-03-15,6192.2990,6173.8721,6229.5721,6111.3575,17079969100,150564929107.2000
2021-03-16,6176.0685,6195.2438,6222.1819,6124.7770,15284599200,138852788600.2000
2021-03-17,6180.8928,6225.3588,6230.5590,6124.0498,13484039600,125106921645.0000
2021-03-18,6231.1932,6273.8556,6300.9446,6227.1926,14072566500,137984965631.0000
2021-03-19,6195.2534,6206.6023,6258.1321,6167.5070,14323827500,143898488142.7000
